vertical,target,city_state,metro,website,decision_maker,dm_title,contact_path,size_signal,public_pain_signal,score,warm_or_cold,best_channel,pain_monthly_est,pain_summary,ai_fix,status,source_url
law,Morgan & Morgan,"Tampa, FL (national; HQ Orlando)",Tampa,forthepeople.com,N/A,"Mega-firm, 1,000+ attorneys",N/A,"America's largest PI firm; 1,000+ lawyers, offices nationwide",Already runs staffed 24/7 intake at national scale,20,cold,—,—,"HALT: 1,000+ attorney national firm with staffed 24/7 intake -> the missed-call pain does not exist; not the owner-operator buyer",—,HALT,https://www.forthepeople.com/
law,Lerner & Rowe Injury Attorneys,"Phoenix, AZ",Phoenix,lernerandrowe.com,N/A,Multi-state advertising firm,N/A,"35+ attorneys, ~20 offices across 7 states",24/7 phone + LiveChat staffed by dedicated intake specialists,25,cold,—,—,HALT: staffed 24/7 intake call center already in place -> nothing for the AI front desk to recover; ICP mismatch,—,HALT,https://lernerandrowe.com/contact/
law,Holland & Knight LLP,"Tampa, FL",Tampa,hklaw.com,N/A,Global law firm,N/A,"~2,200 attorneys, 35 offices worldwide (founded Tampa 1889)","BigLaw: institutional clients, committee buying, no SMB intake line",10,cold,—,—,"HALT: BigLaw (~2,200 attorneys) -> no owner-operator buyer and no missed-intake pain model; out of ICP",—,HALT,https://www.hklaw.com/en/offices/tampa
law,Modern Family Law,"Denver, CO",Denver,modernfamilylaw.com,N/A,Multi-state platform firm,N/A,"43 lawyers, 9 offices across CO/CA/TX/WA/GA",Centralized multi-office intake operation,30,cold,—,—,HALT: 43-lawyer multi-state platform with centralized intake -> exceeds solo-to-~10 ICP; not the owner-operator buyer,—,HALT,https://www.modernfamilylaw.com/our-locations/
law,HCA Healthcare Legal Department,"Nashville, TN",Nashville,hcahealthcare.com/legal,N/A,In-house legal dept (CLO-led),N/A,~116-lawyer in-house department of a Fortune 100 health system,Not a law firm; no inbound client intake line,5,cold,—,—,HALT: in-house corporate legal department -> not a law firm and no client intake to fix; out of scope by definition,—,HALT,https://www.hcahealthcare.com/legal
optometry,Round Rock Eyes,"Round Rock, TX",Austin,roundrockeyes.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single-location, family — not a chain",Family practice = high call volume; likely phone-only booking,90,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://roundrockeyes.com/
optometry,Oak Hill Eye Care,"Austin, TX (Oak Hill)",Austin,oakhilleyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Family-owned & operated, single location","Family-owned; sees ages 4+, recall-driven",89,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.oakhilleyecare.com/
optometry,Parmer Eye Care,"Austin, TX",Austin,parmereyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),Locally owned single clinic,Locally owned; all ages,88,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.parmereyecare.com/
optometry,Bristol Family Eyecare,"Austin, TX",Austin,bristolfamilyeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Family practice, Austin metro",Family eye care = recall + high call volume,87,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.bristolfamilyeyecare.com/
optometry,Eyesite Family Vision,"Austin, TX",Austin,yelp.com/biz/eyesite-family-vision-austin,Owner OD [verify],Owner / Optometrist,Website / main line (see listing),"Single location, value-priced","Affordable-positioned, single site",85,cold,Loom email + phone,"$2,500-$5,000 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.yelp.com/biz/eyesite-family-vision-austin
optometry,Pak Family Eye Care,"Austin / Cedar Park / Kyle, TX",Austin,pakfamilyeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Small group, multi-area",Multi-area = call routing pain across sites,84,cold,Loom email + phone,"$5,000-$11,000 (est.)","Missed inbound calls across multiple sites -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.pakfamilyeyecare.com/
optometry,McCormick Vision Source,"Austin, TX",Austin,mccormickvision.com,Dr. John McCormick (+ Dr. Michael McCormick),Owner / Optometrist,Website contact form / main line (see site),"Independent (Vision Source network), est. 1989, 2 ODs","Established, 2-OD independent",82,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.mccormickvision.com/our-optometry-clinic/
optometry,Eye Trends,"Austin, TX (Pond Springs)",Austin,eyetrendsaustin.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),Local independent (verify multi-site),Local independent; verify size,80,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.eyetrendsaustin.com/
optometry,True Eye Care,"Denver, CO (Jefferson Park)",Denver,trueeyecareco.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent locally owned, single location, boutique","Boutique single-OD; whole-family, recall-driven",90,cold,Loom email + phone,"$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://trueeyecareco.com/
optometry,Infinity Eyecare of Denver,"Denver, CO",Denver,infinityeyecareofdenver.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Family-run private, single location",Family-run; all ages,88,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://infinityeyecareofdenver.com/
optometry,Central Denver Eye Care,"Denver, CO (Golden Triangle)",Denver,centraldenvereyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location","Personalized, neighborhood practice",87,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.centraldenvereyecare.com/
optometry,Peepers Optical,"Denver, CO",Denver,peepersopticaldup.ecpbuilder.com,Dr. Raymond McCleery,Owner / Optometrist,Website contact form / main line (see site),"Private, owner-couple operated",Owner-operated private; Denver metro,86,cold,Loom email + phone,"$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://peepersopticaldup.ecpbuilder.com/
optometry,Elevated Eyecare,"Denver, CO",Denver,elevatedeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location",Independent Denver practice,84,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.elevatedeyecare.com/
optometry,Denver Eye Practice & Optical,"Denver, CO",Denver,dep2020.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location",Independent optometrist + optical,83,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.dep2020.com/
optometry,Envision Eyecare,"Aurora, CO",Denver,envision-eyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, Aurora",Suburban family practice,82,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://envision-eyecare.com/our-practice/
optometry,Look East,"Nashville, TN (East Nashville)",Nashville,lookeastnashville.com,Dr. Brasfield,Owner / Optometrist,Website contact form / main line (see site),"Independent boutique, est. 2016, single location","Boutique optical; owner-founder, design-led",89,cold,Loom email + phone,"$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.lookeastnashville.com/
optometry,Barnes Talero EyeCare,"Nashville, TN",Nashville,barnestaleroeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent locally owned, est. 2008, bilingual","Family practice, bilingual = high call demand",88,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://barnestaleroeyecare.com/
optometry,Elite Eyecare,"Nashville, TN",Nashville,[verify domain],Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independently owned, single location",Fair-pricing positioned independent,85,cold,Loom email + phone,"$2,500-$5,000 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://topeyedoctorsnearme.com/optometrist-nashville-tn/
optometry,Bellevue Eyecare Center,"Nashville, TN (Bellevue)",Nashville,[verify domain],Dr. James Kirkconnell,Owner / Optometrist,Website contact form / main line (see site),"Independently owned, est. 2007",Established owner-operated practice,84,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://topeyedoctorsnearme.com/optometrist-nashville-tn/
optometry,Optique Nashville,"Nashville, TN",Nashville,optiquenashville.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Single location, dry-eye specialty (verify independence)",Niche dry-eye demand; verify ownership,81,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.optiquenashville.com/
optometry,Music City Optical,"Nashville, TN (Music Row)",Nashville,musiccityoptical.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Single location, aesthetics + eye care",Boutique Music Row practice,80,cold,Loom email + phone,"$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://musiccityoptical.com/
optometry,Britton Vision,"Tampa, FL",Tampa,brittonvisionfl.com,Dr. Moi,Owner / Optometrist,Website contact form / main line (see site),"Privately owned independent, single location","Owner-OD private, all ages",89,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://brittonvisionfl.com/
optometry,Absolutely Optical,"Tampa, FL",Tampa,absolutelyoptical.com,Dr. Jay Weil,Owner / Optometrist,Website contact form / main line (see site),"Independent doctor-owned, 35+ yrs, single location",Established owner-OD; premium positioning,88,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.absolutelyoptical.com/
optometry,Bright Eyes Family Vision Care,"Tampa, FL (Westchase + New Tampa)",Tampa,brighteyestampa.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Family-owned, 2 locations",2 sites incl. pediatric = high call volume + routing,86,cold,Loom email + phone,"$5,000-$11,000 (est.)","Missed inbound calls across 2 sites -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.brighteyestampa.com/
optometry,I-Care Optical,"Tampa, FL",Tampa,icaretampa.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location (Sheldon Rd)",Independent neighborhood practice,84,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.icaretampa.com/
optometry,Mason Eye Clinic,"St. Petersburg, FL",Tampa,masoneyeclinic.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location",Independent St. Pete optometry,82,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://masoneyeclinic.com/
optometry,Charlotte Family Eye Care,"Charlotte, NC",Charlotte,charlottefamilyeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Locally owned private, 30+ yrs, single location",Long-established family practice; deep recall list,88,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.charlottefamilyeyecare.com
optometry,Innovative Eye Care,"Charlotte, NC (Dilworth)",Charlotte,innovativeeyecare.net,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, since 2011, single location",Independent Dilworth practice,86,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://innovativeeyecare.net/
optometry,Autarchic Spec Shop,"Charlotte, NC (SouthPark)",Charlotte,autarchicspecshop.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Boutique independent, single location","Boutique, not a chain; design-led",83,cold,Loom email + phone,"$2,500-$5,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://autarchicspecshop.com/
optometry,Piedmont EyeCare Associates,"Charlotte, NC",Charlotte,charlotteoptometry.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent group, multi-OD (verify size)",Larger independent group; verify fit,80,cold,Loom email + phone,"$5,000-$11,000 (est.)","Missed inbound calls across a busy multi-OD group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://charlotteoptometry.com/
optometry,University Eye Associates,"Mecklenburg County, NC",Charlotte,universityeye.net,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),Multi-location group (verify size/ownership),Multi-site group; verify it is owner-operated,78,cold,Loom email + phone,"$5,000-$11,000 (est.)","Missed inbound calls across sites -> lost bookings; benchmark est., confirm on call + verify size","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.universityeye.net/family-eye-care
optometry,Paradise Valley Eyecare,"Phoenix, AZ",Phoenix,pveyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent, single location, all ages",Family practice; warm/personalized positioning,87,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.pveyecare.com/
optometry,Phoenix Eye Doctors,"Phoenix, AZ",Phoenix,phoenixeyedocs.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent vision care provider, single location",Independent family practice,86,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://phoenixeyedocs.com/
optometry,Tatum Eyecare,"Phoenix, AZ (North Phoenix)",Phoenix,tatumeyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent family practice, single location",Family eye care; recall-driven,86,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://tatumeyecare.com/
optometry,Central Phoenix Eye Care,"Phoenix, AZ",Phoenix,centralphoenixeyecarepllc.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent PLLC, single location","Owner-operated PLLC, central Phoenix",85,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://centralphoenixeyecarepllc.com/
optometry,Phoenix Eye Care,"Phoenix, AZ",Phoenix,phxeyecare.com,"Dr. Shannon Steinhauser (+ Dr. Kuby, Dr. Eastman)",Owner / Optometrist,Website contact form / main line (see site),"Independent, 3 ODs, single location",Comprehensive 3-OD independent,84,cold,Loom email + phone,"$3,000-$6,500 (est.)","Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.phxeyecare.com/
optometry,Pearson Eyecare Group,"Phoenix, AZ (Biltmore)",Phoenix,pearsoneyecare.com,Owner OD [verify],Owner / Optometrist,Website contact form / main line (see site),"Independent group, family + vision therapy",Group practice; verify size/fit,84,cold,Loom email + phone,"$5,000-$11,000 (est.)","Missed inbound calls across a busy group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",PROCEED,https://www.pearsoneyecare.com/
optometry,Eye Care & Surgeons of Charlotte,"Charlotte, NC",Charlotte,eyecareofcharlotte.com,N/A,Surgical group,N/A,Surgical/ophthalmology center (cataract/glaucoma/LASIK),"Surgical center, not owner-op front-desk SMB",35,cold,—,—,HALT: surgical/ophthalmology center -> missed-call booking pain model does not fit; not the owner-operator buyer,—,HALT,https://eyecareofcharlotte.com/
optometry,Eye Doctors of Arizona,"Phoenix, AZ",Phoenix,eyedraz.com,Dr. Warren/Benjamin/Matthew Heller,Ophthalmology surgeons,N/A,"Ophthalmology surgical group, larger org","Surgical group, larger org",34,cold,—,—,"HALT: ophthalmology surgical group, larger org -> ICP mismatch (not the SMB owner-operator buyer)",—,HALT,https://www.eyedraz.com/
optometry,Kurt Theodore OD PA,"Tampa Bay, FL",Tampa,tampa-eyedoctor.com,Dr. Kurt Theodore,Optometrist,N/A,Operates inside Walmart Vision Centers (host site),Host site owns the front desk / call flow,40,cold,—,—,HALT: located inside Walmart Vision Centers -> host owns the phones; the OD does not own the call flow we would fix,—,HALT,https://www.tampa-eyedoctor.com/
optometry,"Nashville Regional Eye Care, P.C.","Nashville, TN",Nashville,nationalvision.com,N/A,Corporate-affiliated practice,N/A,Surfaced via National Vision (corporate-affiliated),"Corporate back office, not independent owner-op",30,cold,—,—,"HALT: National Vision-affiliated -> centralized corporate back office, not the independent owner-operator pain",—,HALT,https://www.nationalvision.com/careers/doctor-optometry/independent-practices/nashville-regional-eye-care-pc/
optometry,South Tampa Eye Clinic,"Tampa, FL",Tampa,floridaeye.org,N/A,Multi-location platform,N/A,Sight360 / Florida Eye Specialists company (PE-backed),PE-backed multi-location platform with central ops,32,cold,—,—,"HALT: Sight360 platform (PE-backed, multi-location) -> has central ops; not the SMB owner-operator pain",—,HALT,https://floridaeye.org/locations/south-tampa-eye-clinic/
