Business Name,Contact Name,Website,Location,Metro,Vertical,Lead Score,Pain Monthly Est,Best Channel,Pain Summary,AI Fix,Source URL,Tags
Bright Eyes Family Vision Care,Owner OD [verify],brighteyestampa.com,"Tampa, FL (Westchase + New Tampa)",Tampa,optometry,86,"$5,000-$11,000 (est.)",Loom email + phone,"Missed inbound calls across 2 sites -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.brighteyestampa.com/,PremierConnect;optometry;Tampa
I-Care Optical,Owner OD [verify],icaretampa.com,"Tampa, FL",Tampa,optometry,84,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.icaretampa.com/,PremierConnect;optometry;Tampa
Mason Eye Clinic,Owner OD [verify],masoneyeclinic.com,"St. Petersburg, FL",Tampa,optometry,82,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://masoneyeclinic.com/,PremierConnect;optometry;Tampa
Charlotte Family Eye Care,Owner OD [verify],charlottefamilyeyecare.com,"Charlotte, NC",Charlotte,optometry,88,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.charlottefamilyeyecare.com,PremierConnect;optometry;Charlotte
Innovative Eye Care,Owner OD [verify],innovativeeyecare.net,"Charlotte, NC (Dilworth)",Charlotte,optometry,86,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://innovativeeyecare.net/,PremierConnect;optometry;Charlotte
Autarchic Spec Shop,Owner OD [verify],autarchicspecshop.com,"Charlotte, NC (SouthPark)",Charlotte,optometry,83,"$2,500-$5,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://autarchicspecshop.com/,PremierConnect;optometry;Charlotte
Piedmont EyeCare Associates,Owner OD [verify],charlotteoptometry.com,"Charlotte, NC",Charlotte,optometry,80,"$5,000-$11,000 (est.)",Loom email + phone,"Missed inbound calls across a busy multi-OD group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://charlotteoptometry.com/,PremierConnect;optometry;Charlotte
University Eye Associates,Owner OD [verify],universityeye.net,"Mecklenburg County, NC",Charlotte,optometry,78,"$5,000-$11,000 (est.)",Loom email + phone,"Missed inbound calls across sites -> lost bookings; benchmark est., confirm on call + verify size","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.universityeye.net/family-eye-care,PremierConnect;optometry;Charlotte
Paradise Valley Eyecare,Owner OD [verify],pveyecare.com,"Phoenix, AZ",Phoenix,optometry,87,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.pveyecare.com/,PremierConnect;optometry;Phoenix
Phoenix Eye Doctors,Owner OD [verify],phoenixeyedocs.com,"Phoenix, AZ",Phoenix,optometry,86,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://phoenixeyedocs.com/,PremierConnect;optometry;Phoenix
Tatum Eyecare,Owner OD [verify],tatumeyecare.com,"Phoenix, AZ (North Phoenix)",Phoenix,optometry,86,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://tatumeyecare.com/,PremierConnect;optometry;Phoenix
Central Phoenix Eye Care,Owner OD [verify],centralphoenixeyecarepllc.com,"Phoenix, AZ",Phoenix,optometry,85,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://centralphoenixeyecarepllc.com/,PremierConnect;optometry;Phoenix
Phoenix Eye Care,"Dr. Shannon Steinhauser (+ Dr. Kuby, Dr. Eastman)",phxeyecare.com,"Phoenix, AZ",Phoenix,optometry,84,"$3,000-$6,500 (est.)",Loom email + phone,"Missed inbound calls (after-hours/lunch/2nd caller) -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.phxeyecare.com/,PremierConnect;optometry;Phoenix
Pearson Eyecare Group,Owner OD [verify],pearsoneyecare.com,"Phoenix, AZ (Biltmore)",Phoenix,optometry,84,"$5,000-$11,000 (est.)",Loom email + phone,"Missed inbound calls across a busy group -> lost bookings; benchmark est., confirm on call","AI front desk: answers 24/7, books to calendar; live on their number <=7 days",https://www.pearsoneyecare.com/,PremierConnect;optometry;Phoenix
